timestamps,open,high,low,close,volume,amount
2026-02-23,9.93,10.57,9.8601,10.19,68820893.455661,701284904.3131856
2026-02-24,10.01,10.48,9.48,10.4,69619664.071045,724044506.338868
2026-02-25,10.63,10.94,10.27,10.3,68949431.04638,710179139.777714
2026-02-26,10.15,10.78,9.95,10.45,67386274.406013,704186567.5428357
2026-02-27,10.09,10.18,9.62,10.08,65528398.760377,660526259.5046002
2026-03-02,10.5,12.42,10.3,10.67,181539011.952597,1937021257.53421
2026-03-03,10.69,11.0,9.76,10.02,100359268.325405,1005599868.620558
2026-03-04,10.36,10.82,9.93,10.51,104822031.847579,1101679554.7180552
2026-03-05,10.49,10.92,10.06,10.49,86235332.710328,904608640.1313407
2026-03-06,10.25,11.61,9.76,9.83,160635256.293396,1579044569.3640826
2026-03-09,10.03,10.03,9.2,9.72,91130937.005017,885792707.6887653
2026-03-10,9.84,10.45,9.575,10.01,90578688.699792,906692673.884918
2026-03-11,10.05,10.56,9.5,9.83,88367449.859219,868652032.1161227
2026-03-12,10.085,10.84,9.8,10.33,136065236.622472,1405553894.3101356
2026-03-13,10.43,10.98,10.05,10.16,73311730.314936,744847179.9997498
2026-03-16,10.37,10.87,10.11,10.53,88867531.830621,935775110.1764392
2026-03-17,10.55,11.47,10.37,11.28,109600198.872599,1236290243.2829168
2026-03-18,11.375,11.76,10.82,10.83,79494307.320761,860923348.2838416
2026-03-19,10.685,10.98,10.12,10.75,69267003.729934,744620290.0967906
2026-03-20,10.79,10.83,9.73,10.06,86900913.027241,874223185.0540446
2026-03-23,10.29,10.97,9.965,10.9,92323385.229881,1006324899.005703
2026-03-24,10.91,11.37,10.475,10.68,96637517.812286,1032088690.2352144
2026-03-25,10.88,11.14,10.23,10.31,96871615.256634,998746353.2958964
2026-03-26,10.05,10.14,9.2701,9.44,72606156.962862,685402121.7294172
2026-03-27,9.35,9.37,8.705,8.8,56393124.53612,496259495.917856
2026-03-30,8.81,8.82,7.78,8.15,71761418.599591,584855561.5866667
2026-03-31,8.45,9.14,8.2,9.04,59296550.98075,536040820.86598
2026-04-01,9.3,9.35,8.78,8.81,63384438.157072,558416900.1638044
2026-04-02,8.515,9.63,8.46,9.6,71272367.99424,684214732.744704
2026-04-06,9.63,9.9,9.38,9.52,45392441.236699,432136040.57337445
2026-04-07,9.43,9.69,9.192,9.53,47377145.837325,451504199.8297072
2026-04-08,10.17,10.37,9.34,9.45,64338142.396195,607995445.6440427
2026-04-09,9.415,9.52,9.01,9.14,37710410.898742,344673155.6145019
2026-04-10,9.23,9.36,8.99,9.13,33435101.944526,305262480.7535224
2026-04-13,9.01,9.585,8.73,9.47,52072577.996298,493127313.6249421
2026-04-14,9.72,9.86,9.3,9.4,41727192.789162,392235612.2181229
2026-04-15,9.51,10.03,9.3701,10.03,54416472.750735,545797221.689872
2026-04-16,10.25,10.39,9.76,10.2,52178051.006801,532216120.2693702
2026-04-17,10.38,10.53,9.77,10.0,58571378.152634,585713781.52634
2026-04-20,9.8,11.06,9.66,10.73,90768145.095952,973942196.879565
2026-04-21,10.9,11.29,10.64,10.87,80844604.473081,878780850.6223903
2026-04-22,11.27,11.61,10.85,11.06,67613635.546109,747806809.1399657
2026-04-23,10.88,10.97,10.1,10.54,52294403.833894,551183016.4092427
2026-04-24,10.63,10.77,10.115,10.55,45396091.929443,478928769.8556237
2026-04-27,10.358,11.06,10.21,10.95,56948273.472033,623583594.5187613
2026-04-28,10.695,11.07,10.335,10.48,41735201.307691,437384909.7046017
2026-04-29,10.38,10.43,9.41,9.49,58503707.02127,555200179.6318523
2026-04-30,9.5,10.16,9.31,10.04,35726074.664522,358689789.63180083
2026-05-01,10.0,10.56,9.62,10.32,45644544.659777,471051700.8888987
2026-05-04,10.15,10.365,9.67,9.73,47914850.106324,466211491.53453255
2026-05-05,9.78,9.79,9.16,9.33,56570756.234602,527805155.66883665
2026-05-06,9.25,9.46,9.02,9.34,54577156.301343,509750639.8545436
2026-05-07,9.25,9.25,8.78,8.89,45228604.28461,402082292.09018296
2026-05-08,9.0,9.09,8.65,9.06,34077950.356303,308746230.2281052
2026-05-11,8.92,9.65,8.72,9.42,44661860.332807,420714724.3350419
2026-05-12,9.235,9.35,8.8,9.04,37093825.390632,335328181.5313133
2026-05-13,8.92,9.18,8.67,8.86,50015022.434857,443133098.77283305
2026-05-14,9.99,11.73,9.6,11.21,244801003.783717,2744219252.4154677
2026-05-15,10.91,12.12,10.5,10.62,140436919.37877,1491440083.8025372
2026-05-18,10.63,10.67,9.46,9.7,78884259.41331,765177316.309107
2026-05-19,9.825,9.88,8.97,9.125,56079832.998905,511728476.1150082
2026-05-20,9.25,9.54,9.12,9.36,43365708.89432,405903035.2508352
2026-05-21,9.28,9.38,8.98,9.18,56235707.075848,516243790.9562846
2026-05-22,9.21,9.565,9.06,9.06,59348684.597578,537699082.4540566
2026-05-26,9.335,10.26,9.3077,9.77,83095918.903797,811847127.6900966
2026-05-27,10.0,11.06,9.68,10.8,93224614.207075,1006825833.43641
